,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
22034,7609,26,1.0818617225085447,True,True,True,[44 12],[0.93333334 0.00261097],43,32.084187,44,597.296142578125,39.652847,41.10425397964871
22035,7609,28,2.419188732455473,False,False,True,[31],[0.96875],31,23.614292,32,456.5704345703125,29.184904,27.801496710180924
22036,7610,33,47.90877625165811,False,True,True,[30 20],[0.85714287 0.01960784],27,21.38939,25,321.5873107910156,26.43515,20.79570933619903
22037,7611,35,80.60139975403602,False,True,True,[58],[0.76086956],39,27.347584,42,493.9127502441406,33.79888,35.84364673738025
22038,7611,36,2.537206738993826,False,True,True,[64],[0.88235295],15,20.28181,17,294.203857421875,25.06629,42.6020176775794
22039,7611,38,1.529998779296875,True,True,True,[63],[0.8518519],23,15.115071,27,281.6632080078125,18.680717,29.267969540006234
22040,7612,41,0.764984130859375,True,True,True,[72  5],[0.8648649  0.00126263],67,37.047726,71,712.8504638671875,45.787285,41.939379434302104
22041,7612,43,1.8738643876055603,True,False,False,[],[],7,6.5071807,-1,-1.0,8.042225,-1.0
22042,7612,45,1.8738394702730345,True,True,True,[55 24],[0.9166667 0.004329 ],23,22.364876,23,402.4757080078125,27.64075,35.48052735346034
22043,7613,9,0.764984130859375,True,False,True,[41 11],[0.75714284 0.01397206],68,41.855007,55,612.743408203125,51.728603,51.63470031430422
22044,7613,13,inf,False,False,True,[ 7 43],[0.6        0.30769232],52,37.933586,36,514.0000610351562,46.882122,2885.813174652465
22045,7613,17,0.764984130859375,True,True,True,[45  0],[0.875      0.00554017],39,26.861588,36,476.8549499511719,33.19824,45.48388929075651
22046,7613,19,4.589996337890625,False,False,True,[32 19],[0.65217394 0.02403846],21,10.658821,17,180.45025634765625,13.173238,18.739745599802564
22047,7613,21,0.764984130859375,True,True,True,[37 14],[0.8333333  0.00471698],33,35.852196,33,601.0123291015625,44.30973,46.555270767278266
22048,7614,15,1.7106247576893532,True,True,True,[38],[0.82857144],32,23.46855,32,485.59619140625,29.004782,32.31630425087853
22049,7615,19,155.9418391966675,False,True,True,[63 46 34],[0.42857143 0.28       0.00737101],49,29.066378,-1,-1.0,35.923138,-1.0
22050,7615,40,1.529998779296875,True,False,True,[56 28],[0.8863636  0.00636943],43,29.017763,40,504.09130859375,35.863056,39.76377080858506
22051,7616,15,19.96343665419035,False,True,True,[37],[0.7209302],31,27.87211,43,776.704833984375,34.447144,52.01161754236249
22052,7616,17,2.4191115287190232,False,True,True,[39],[0.9310345],54,37.935204,58,666.1253051757812,46.88412,41.24732265198147
22053,7616,19,2.2950134279372763,False,False,True,[38  7],[0.7777778  0.01010101],26,10.890162,22,222.68614196777344,13.459152,21.25960380681365
22054,7617,26,50.8537839871153,False,True,True,[35 33],[0.8833333  0.00628931],59,32.682983,54,579.8220825195312,40.392902,40.1556436331072
22055,7618,20,0.764984130859375,True,True,True,[40 11],[0.9032258  0.00159744],30,20.82413,29,363.32464599609375,25.736542,25.514399730841863
22056,7618,22,2.2950032552534227,False,True,True,[35],[0.9411765],32,23.62788,34,459.58551025390625,29.201698,30.85322112927541
